title,authors,year,citations,abstract,result_id,publication_info,pdf_links,url,total_results,search_time
"Huxley-g\"" odel machine: Human-level coding agent development by an approximation of the optimal self-improving machine","W Wang, P Piękos, L Nanbo, F Laakom…",2026.0,43,"Recent studies operationalize self-improvement through coding agents that edit their own codebases. They grow a tree of self-modifications through expansion strategies that favor higher software engineering benchmark performance, assuming that this implies more promising subsequent self-modifications. However, we identify a mismatch between the agent's self-improvement potential (metaproductivity) and its coding benchmark performance, namely the Metaproductivity-Performance~ Mismatch. Inspired by Huxley's …",3anOIhJljHkJ,"W Wang, P Piękos, L Nanbo, F Laakom… - International …, 2026 - proceedings.iclr.cc",['https://proceedings.iclr.cc/paper_files/paper/2026/file/821d20219c2f14850af1b5220f0ed13f-Paper-Conference.pdf'],https://proceedings.iclr.cc/paper_files/paper/2026/hash/821d20219c2f14850af1b5220f0ed13f-Abstract-Conference.html,unknown,unknown
"Huxleygödel machine: Human-level coding agent development by an approximation of the optimal self-improving machine, 2025a","W Wang, P Piekos, L Nanbo, F Laakom, Y Chen…",,5,,w_ero-cKsSEJ,"W Wang, P Piekos, L Nanbo, F Laakom, Y Chen… - URL https://arxiv. org/abs …",[],,unknown,unknown
